League,Season,Team,Location,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
Ligue_1,2017,Toulouse,home,19,7,5,7,23,21,26,29.07,23.68,31.32
Ligue_1,2017,Toulouse,away,19,2,5,12,15,33,11,14.22,30.77,15.88
Ligue_1,2017,Saint-Etienne,home,19,8,7,4,32,27,31,31.91,26.57,29.99
Ligue_1,2017,Saint-Etienne,away,19,7,3,9,15,23,24,19.13,26.69,21.6
Ligue_1,2017,Bordeaux,home,19,9,4,6,27,23,31,30.09,17.07,34.6
Ligue_1,2017,Bordeaux,away,19,7,3,9,26,25,24,22.47,24.31,24.4
Ligue_1,2017,Lyon,home,19,12,5,2,38,18,41,32.49,16.69,36.06
Ligue_1,2017,Lyon,away,19,11,4,4,49,25,37,32.78,20.4,33.98
Ligue_1,2017,Metz,home,19,3,4,12,16,37,13,19.97,30.75,19.6
Ligue_1,2017,Metz,away,19,3,4,12,18,39,13,16.43,41.18,11.88
Ligue_1,2017,Dijon,home,19,11,3,5,35,28,36,23.0,25.99,25.02
Ligue_1,2017,Dijon,away,19,2,6,11,20,45,12,17.03,36.96,13.59
Ligue_1,2017,Amiens,home,19,8,5,6,26,19,29,21.01,22.16,26.17
Ligue_1,2017,Amiens,away,19,4,4,11,11,23,16,10.45,29.54,12.77
Ligue_1,2017,Strasbourg,home,19,7,6,6,27,27,27,24.02,22.59,27.11
Ligue_1,2017,Strasbourg,away,19,2,5,12,17,40,11,19.25,35.74,16.64
Ligue_1,2018,Lille,home,19,13,4,2,42,11,43,30.4,17.79,35.04
Ligue_1,2018,Lille,away,19,9,5,5,26,22,32,29.61,22.06,31.98
Ligue_1,2018,Paris Saint Germain,home,19,17,2,0,63,10,53,56.61,14.03,49.95
Ligue_1,2018,Paris Saint Germain,away,19,12,2,5,42,25,38,38.73,22.76,36.09
Ligue_1,2018,Rennes,home,19,8,7,4,27,18,31,31.79,18.28,36.51
Ligue_1,2018,Rennes,away,19,5,6,8,28,34,21,24.26,27.91,23.42
Ligue_1,2018,Marseille,home,19,11,4,4,31,17,37,28.5,17.23,32.75
Ligue_1,2018,Marseille,away,19,7,3,9,29,35,24,23.58,27.36,23.18
Ligue_1,2018,Caen,home,19,4,5,10,16,27,17,17.65,29.31,19.39
Ligue_1,2018,Caen,away,19,3,7,9,13,27,16,9.32,31.78,10.85
Ligue_1,2018,Montpellier,home,19,8,8,3,31,20,32,26.44,18.45,31.77
Ligue_1,2018,Montpellier,away,19,7,6,6,22,22,27,20.18,22.81,24.33
Ligue_1,2018,Angers,home,19,5,9,5,24,22,24,27.88,19.58,31.98
Ligue_1,2018,Angers,away,19,5,7,7,20,27,22,19.61,26.73,21.22
Ligue_1,2018,Nantes,home,19,9,4,6,35,24,31,31.04,19.43,34.78
Ligue_1,2018,Nantes,away,19,4,5,10,13,24,17,17.0,27.87,19.84
Ligue_1,2018,Guingamp,home,19,3,7,9,16,27,16,20.4,22.94,23.79
Ligue_1,2018,Guingamp,away,19,2,5,12,12,41,11,19.06,32.0,20.33
Ligue_1,2018,Nice,home,19,10,4,5,19,14,34,28.25,21.37,32.26
Ligue_1,2018,Nice,away,19,5,7,7,11,21,22,15.2,28.36,15.89
Ligue_1,2018,Monaco,home,19,4,6,9,19,29,18,22.41,21.2,27.36
Ligue_1,2018,Monaco,away,19,4,6,9,19,28,18,24.09,27.57,23.91
Ligue_1,2018,Toulouse,home,19,4,9,6,20,26,21,26.45,24.93,26.62
Ligue_1,2018,Toulouse,away,19,4,5,10,15,31,17,16.28,31.49,17.36
Ligue_1,2018,Saint-Etienne,home,19,13,2,4,34,14,41,33.71,22.7,33.23
Ligue_1,2018,Saint-Etienne,away,19,6,7,6,25,27,25,24.14,26.11,25.15
Ligue_1,2018,Bordeaux,home,19,7,6,6,24,21,27,22.7,24.74,24.35
Ligue_1,2018,Bordeaux,away,19,3,5,11,10,21,14,14.56,27.45,17.02
Ligue_1,2018,Reims,home,19,8,7,4,21,18,31,18.1,18.65,25.16
Ligue_1,2018,Reims,away,19,5,9,5,18,24,24,19.02,23.63,23.06
Ligue_1,2018,Lyon,home,19,12,4,3,38,19,40,39.43,17.87,38.69
Ligue_1,2018,Lyon,away,19,9,5,5,32,28,32,33.28,26.84,30.8
Ligue_1,2018,Dijon,home,19,6,4,9,18,29,22,21.14,25.96,22.2
Ligue_1,2018,Dijon,away,19,3,3,13,13,31,12,14.99,31.65,15.26
Ligue_1,2018,Amiens,home,19,7,5,7,20,22,26,21.96,21.05,27.05
Ligue_1,2018,Amiens,away,19,2,6,11,11,30,12,12.67,25.71,15.3
Ligue_1,2018,Strasbourg,home,19,6,8,5,31,25,26,20.89,25.25,23.62
Ligue_1,2018,Strasbourg,away,19,5,8,6,27,23,23,19.7,23.25,22.87
Ligue_1,2018,Nimes,home,19,9,5,5,30,20,32,24.2,18.85,30.22
Ligue_1,2018,Nimes,away,19,6,3,10,27,38,21,24.3,36.62,19.68
Ligue_1,2019,Lille,home,15,11,2,2,24,9,35,26.77,12.22,30.98
Ligue_1,2019,Lille,away,13,4,2,7,11,18,14,14.04,17.95,16.14
Ligue_1,2019,Paris Saint Germain,home,14,12,1,1,44,11,37,43.41,10.5,34.92
Ligue_1,2019,Paris Saint Germain,away,13,10,1,2,31,13,31,33.01,11.94,30.76
Ligue_1,2019,Rennes,home,14,9,2,3,25,14,29,22.06,12.57,25.06
Ligue_1,2019,Rennes,away,14,6,3,5,13,10,21,12.31,15.58,16.11
Ligue_1,2019,Marseille,home,14,8,4,2,21,14,28,18.39,11.28,23.0
Ligue_1,2019,Marseille,away,14,8,4,2,20,15,28,18.04,20.77,18.73
Ligue_1,2019,Montpellier,home,14,10,2,2,26,10,32,23.0,13.08,25.61
Ligue_1,2019,Montpellier,away,14,1,5,8,9,24,8,11.95,19.18,14.45
Ligue_1,2019,Angers,home,15,8,3,4,20,13,27,18.04,15.13,22.65
Ligue_1,2019,Angers,away,13,3,3,7,8,20,12,9.07,13.02,14.84
Ligue_1,2019,Nantes,home,14,6,2,6,11,11,20,15.09,15.33,18.61
Ligue_1,2019,Nantes,away,14,5,2,7,17,20,17,12.73,14.93,17.3
Ligue_1,2019,Nice,home,15,8,4,3,28,20,28,21.08,19.46,22.68
Ligue_1,2019,Nice,away,13,3,4,6,13,18,13,15.37,23.23,12.94
Ligue_1,2019,Monaco,home,14,8,2,4,29,22,26,27.95,17.43,25.4
Ligue_1,2019,Monaco,away,14,3,5,6,15,22,14,20.6,23.63,17.07
Ligue_1,2019,Toulouse,home,13,3,0,10,11,24,9,16.77,19.51,15.82
Ligue_1,2019,Toulouse,away,15,0,4,11,11,34,4,14.53,28.77,12.19
Ligue_1,2019,Saint-Etienne,home,14,4,6,4,15,18,18,15.85,17.21,17.86
Ligue_1,2019,Saint-Etienne,away,14,4,0,10,14,27,12,13.8,20.51,14.82
Ligue_1,2019,Bordeaux,home,13,4,5,4,19,12,17,16.12,13.86,20.6
Ligue_1,2019,Bordeaux,away,15,5,5,5,21,22,20,14.35,21.34,16.46
Ligue_1,2019,Reims,home,14,5,7,2,12,7,22,14.14,11.56,20.92
Ligue_1,2019,Reims,away,14,5,4,5,14,14,19,14.79,14.9,19.5
Ligue_1,2019,Lyon,home,13,5,4,4,17,7,19,15.68,10.55,21.21
Ligue_1,2019,Lyon,away,15,6,3,6,25,20,21,20.56,14.18,25.13
Ligue_1,2019,Metz,home,14,5,4,5,18,17,19,15.15,19.56,15.66
Ligue_1,2019,Metz,away,14,3,6,5,9,18,15,9.51,16.97,13.38
Ligue_1,2019,Dijon,home,14,6,6,2,20,15,24,16.26,15.91,19.69
Ligue_1,2019,Dijon,away,14,1,3,10,7,22,6,11.12,23.39,11.49
Ligue_1,2019,Amiens,home,14,3,5,6,17,23,14,13.6,16.76,18.14
Ligue_1,2019,Amiens,away,14,1,6,7,14,27,9,12.02,21.66,14.69
Ligue_1,2019,Strasbourg,home,13,7,3,3,22,14,24,20.57,13.68,21.94
Ligue_1,2019,Strasbourg,away,14,4,2,8,10,18,14,13.98,19.78,15.8
Ligue_1,2019,Nimes,home,14,6,2,6,17,15,20,17.4,14.96,20.88
Ligue_1,2019,Nimes,away,14,1,4,9,12,29,7,12.79,25.51,11.81
Ligue_1,2019,Brest,home,14,6,6,2,21,11,24,18.74,15.28,21.48
Ligue_1,2019,Brest,away,14,2,4,8,13,26,10,11.31,28.83,9.17
Ligue_1,2020,Lille,home,19,10,7,2,28,11,37,24.05,10.11,35.29
Ligue_1,2020,Lille,away,19,14,4,1,36,12,46,24.02,15.57,32.32
Ligue_1,2020,Paris Saint Germain,home,19,13,1,5,44,14,40,44.48,17.55,39.97
Ligue_1,2020,Paris Saint Germain,away,19,13,3,3,42,14,42,39.41,19.3,38.3
Ligue_1,2020,Rennes,home,19,9,4,6,26,21,31,24.14,16.21,30.74
Ligue_1,2020,Rennes,away,19,7,6,6,26,19,27,22.62,19.85,28.04
Ligue_1,2020,Marseille,home,19,10,5,4,32,23,35,28.89,18.57,33.39
Ligue_1,2020,Marseille,away,19,6,7,6,22,24,25,20.4,27.92,21.85
Ligue_1,2020,Montpellier,home,19,7,4,8,34,35,25,30.38,34.73,23.29
Ligue_1,2020,Montpellier,away,19,7,8,4,26,27,29,21.88,32.49,21.44
Ligue_1,2020,Angers,home,19,6,3,10,20,27,21,19.32,24.87,21.38
Ligue_1,2020,Angers,away,19,6,5,8,20,31,23,20.59,27.94,21.26
Ligue_1,2020,Nantes,home,19,3,8,8,21,29,17,24.32,25.76,25.67
Ligue_1,2020,Nantes,away,19,6,5,8,26,26,23,23.95,29.13,23.08
Ligue_1,2020,Nice,home,19,7,3,9,25,30,24,23.46,33.17,20.8
Ligue_1,2020,Nice,away,19,8,4,7,25,23,28,22.91,23.02,26.16
Ligue_1,2020,Monaco,home,19,12,5,2,43,21,41,42.25,15.63,42.84
Ligue_1,2020,Monaco,away,19,12,1,6,33,21,37,28.1,18.32,32.97
Ligue_1,2020,Saint-Etienne,home,19,5,6,8,20,29,21,24.66,24.69,26.85
Ligue_1,2020,Saint-Etienne,away,19,7,4,8,22,25,25,22.62,24.46,25.5
Ligue_1,2020,Bordeaux,home,19,7,4,8,19,21,25,23.12,23.19,25.89
Ligue_1,2020,Bordeaux,away,19,6,2,11,23,35,20,20.43,31.69,19.21
Ligue_1,2020,Reims,home,19,4,8,7,16,21,20,15.09,27.96,18.32
Ligue_1,2020,Reims,away,19,5,7,7,26,29,22,18.14,33.83,15.62
Ligue_1,2020,Lyon,home,19,11,3,5,42,23,36,47.35,19.72,41.89
Ligue_1,2020,Lyon,away,19,11,7,1,39,20,40,35.02,18.7,36.92
Ligue_1,2020,Lorient,home,19,10,2,7,31,29,32,26.41,20.57,29.67
Ligue_1,2020,Lorient,away,19,1,7,11,19,39,10,21.75,31.91,20.61
Ligue_1,2020,Metz,home,19,5,5,9,19,26,20,20.83,24.21,23.56
Ligue_1,2020,Metz,away,19,7,6,6,25,22,27,21.43,24.19,24.4
Ligue_1,2020,Dijon,home,19,1,6,12,8,31,9,14.81,31.5,13.43
Ligue_1,2020,Dijon,away,19,3,3,13,17,42,12,17.05,44.62,11.44
Ligue_1,2020,Lens,home,19,7,7,5,28,26,28,29.01,23.82,29.6
Ligue_1,2020,Lens,away,19,8,5,6,27,28,29,27.36,22.59,30.43
Ligue_1,2020,Strasbourg,home,19,4,5,10,21,29,17,26.09,24.11,25.92
Ligue_1,2020,Strasbourg,away,19,7,4,8,28,29,25,26.68,26.1,26.93
Ligue_1,2020,Nimes,home,19,3,5,11,22,39,14,20.39,29.95,20.52
Ligue_1,2020,Nimes,away,19,6,3,10,18,32,21,21.0,34.22,19.18
Ligue_1,2020,Brest,home,19,8,4,7,32,33,28,27.56,27.25,25.9
Ligue_1,2020,Brest,away,19,3,4,12,18,33,13,18.21,30.76,18.05
Ligue_1,2021,Lille,home,19,7,8,4,24,22,29,30.57,16.88,35.8
Ligue_1,2021,Lille,away,19,7,5,7,24,26,26,25.82,20.09,31.03
Ligue_1,2021,Paris Saint Germain,home,19,16,3,0,49,12,51,44.25,15.99,43.81
Ligue_1,2021,Paris Saint Germain,away,19,10,5,4,41,24,35,38.09,22.02,36.58
Ligue_1,2021,Rennes,home,19,14,1,4,50,13,43,40.46,16.6,39.06
Ligue_1,2021,Rennes,away,19,6,5,8,32,27,23,27.78,27.17,25.62
Ligue_1,2021,Marseille,home,19,9,5,5,33,22,32,34.22,23.45,33.41
Ligue_1,2021,Marseille,away,19,12,3,4,30,16,39,25.65,19.34,29.75
Ligue_1,2021,Montpellier,home,19,7,5,7,27,26,26,25.89,21.1,29.51
Ligue_1,2021,Montpellier,away,19,5,2,12,22,35,17,16.58,36.4,13.7
Ligue_1,2021,Angers,home,19,8,2,9,23,23,26,25.73,22.2,29.17
Ligue_1,2021,Angers,away,19,2,9,8,21,32,15,19.48,29.49,19.81
Ligue_1,2021,Nantes,home,19,11,4,4,33,20,37,29.7,27.26,27.32
Ligue_1,2021,Nantes,away,19,4,6,9,22,28,18,16.07,26.27,18.16
Ligue_1,2021,Nice,home,19,10,4,5,27,21,34,32.03,20.68,33.29
Ligue_1,2021,Nice,away,19,10,3,6,25,15,33,27.57,24.27,28.52
Ligue_1,2021,Monaco,home,19,12,4,3,38,16,40,35.24,18.42,37.28
Ligue_1,2021,Monaco,away,19,8,5,6,27,24,29,28.34,24.09,28.74
Ligue_1,2021,Troyes,home,19,5,7,7,19,19,22,21.62,19.54,27.75
Ligue_1,2021,Troyes,away,19,4,4,11,18,34,16,18.04,33.45,16.34
Ligue_1,2021,Saint-Etienne,home,19,4,6,9,24,38,18,24.68,32.22,24.44
Ligue_1,2021,Saint-Etienne,away,19,3,5,11,18,39,14,15.5,32.54,15.25
Ligue_1,2021,Bordeaux,home,19,3,7,9,25,33,16,22.84,30.5,21.33
Ligue_1,2021,Bordeaux,away,19,3,6,10,27,58,15,23.44,39.32,16.87
Ligue_1,2021,Reims,home,19,5,6,8,25,23,21,20.14,19.17,25.87
Ligue_1,2021,Reims,away,19,6,7,6,18,21,25,19.86,28.62,20.24
Ligue_1,2021,Lyon,home,19,11,5,3,42,25,38,40.79,21.85,38.24
Ligue_1,2021,Lyon,away,19,6,6,7,24,26,24,32.53,32.83,26.7
Ligue_1,2021,Lorient,home,19,6,6,7,20,22,24,21.59,24.78,23.01
Ligue_1,2021,Lorient,away,19,2,6,11,15,41,12,17.72,29.73,17.72
Ligue_1,2021,Metz,home,19,3,7,9,21,31,16,14.99,33.56,14.29
Ligue_1,2021,Metz,away,19,3,6,10,14,38,15,15.16,38.09,12.42
Ligue_1,2021,Lens,home,19,9,7,3,35,20,34,27.86,20.75,30.19
Ligue_1,2021,Lens,away,19,8,4,7,27,28,28,24.38,22.94,27.3
Ligue_1,2021,Strasbourg,home,19,11,5,3,36,18,38,33.69,20.07,36.1
Ligue_1,2021,Strasbourg,away,19,6,7,6,24,25,25,27.51,24.61,27.4
Ligue_1,2021,Brest,home,19,7,4,8,28,29,25,25.04,27.66,25.42
